id,text,is,category2
1,"Algún día las mujeres tendrán más autoestima y confianza en si mismas. Ellas tomarán la iniciativa sin complejos ni estigmas sociales. 
Los hombres seremos sus esclavos y hombrezuelos de alquiler.",1,1
2,Dejen de mentir   si es un caso aislado. Muchos vivimos en paz con nuestras mujeres   no andamos buscando a quien matar   si no trabajando y estudiando para realizar nuestros sueños y salir del medio. No se pongan tóxicas   nos duele la muerte de todos pero eso es fanatismo feminazi.,1,1
3,Aquí en El Salvador jamás permitiremos los disparates de la ideología de género   del feminismo y el movimiento LGBTIQ,1,1
4,Solo pendejadas hacen viejas revoltosas   vayan a ver que putas hacen en su casa mejor   vayan a lavar los calzones sucios.,1,1
5,Hablo por mi madre   hermana   sobrinas y tías; las revoltosas de la marcha del domingo no representan ni al 0% de las mujeres salvadoreñas   lo que hicieron fueron prácticas de vandalismo   encabezada por la Bertoxica quien aún adolece y sufre por su pérdida.,1,1
6,Más parece chambre de viejas revoltosas   sin fundamento   tergiversado.,1,1
7,Feminazi a la vista Jajajaja de seguro eres una cualquiera de @user,1,1
8,Ellas son las verdaderas feministas   ellas representan a las mujeres. No esas en tetas   axilas peludas   que rompen y mean en la vía pública!,1,1
9,Y el hombre que trabaja para ganar dinero y mantener a la esposa jaja feministas estúpidas,1,1
10,Feministas... Son tan estupidas que tratar de debatir con ellas es imposible   Asi que solo las insultare   PINCHES PUTAS ABORTERAS   BEBE SEMEN   AXILAS DE OSO   CERDAS   INÚTILES   SOLTERONAS   ESCORIAS   IDIOTAS DE PROFESIÓN Y ZORRAS POR AMOR AL ARTE... CHUPEN UN PITO VENOSO Y BLANCO!!,1,1
11,Cero dudas   las feministas son estúpidas   y cuando creo que no pueden superar lo anterior   elevan su estupidez a un nuevo nivel.,1,1
12,Orcas y feminazis felices dándoles más atribución a violadores y pederastas. En vez de exigir la castración química o vasectomia. Mujeres estúpidas. Leyes ignorantes. En vez de abaratar costos para las mujeres y hombres infertiles que si buscan ser padres.,1,1
13,Las diputadas y las feministas me las paso por la corbata,1,1
14,Con todo este relajo de las féminazis ya no sabe uno si esto es bueno o malo   unos dirán que no es un caballero por dejarla a ella hacerlo   otros dirán que ella está demostrando que no necesitan un hombre para eso   total creo que depende de quien lo vea así será la opinión.,1,1
15,Jajajajajaja las feministas de este grupo son un chiste... ya nadie les hace caso... vayan a estudiar o a trabajar   atiendan a sus novias   dejen de ejercer violencia sobre sus novias mejor,1,1
16,Que pena me da el movimiento #feminista en El Salvador,1,1
17,Ella solita se delata en su perfil! Mancha paredes   feminazi   abortera y bruja! ¿Y esta es la oposición?,1,1
18,Haraganas revoltosas abortistas q no tienen nada q hacer,1,1
19,¿Y las feministas pidiendo igualdad?,1,1
20,"“ni machismo ni feminismo. No me gustan los extremos"".",1,1
